number,kW,Load Detected,AC Detected,Motor,Microwave,result
,1.454,0,0,0,0,0
,1.442,0,0,0,0,0
,1.455,0,0,0,0,0
,1.453,0,0,0,0,0
,1.357,0,0,0,0,0
,1.352,0,0,0,0,0
,1.35,0,0,0,0,0
,1.347,0,0,0,0,0
,1.354,0,0,0,0,0
,1.345,0,0,0,0,0
,1.35,0,0,0,0,0
,1.361,0,0,0,0,0
,1.362,0,0,0,0,0
,1.359,0,0,0,0,0
,1.375,0,0,0,0,0
,1.383,0,0,0,0,0
,1.379,0,0,0,0,0
,1.373,0,0,0,0,0
,1.385,0,0,0,0,0
,1.363,0,0,0,0,0
,1.371,0,0,0,0,0
,1.368,0,0,0,0,0
,1.37,0,0,0,0,0
,1.364,0,0,0,0,0
,1.374,0,0,0,0,0
,1.368,0,0,0,0,0
,1.373,0,0,0,0,0
,1.366,0,0,0,0,0
,1.357,0,0,0,0,0
,1.369,0,0,0,0,0
,1.374,0,0,0,0,0
,1.37,0,0,0,0,0
,0.216,0,0,0,0,0
,0.227,0,0,0,0,0
,0.227,0,0,0,0,0
,0.225,0,0,0,0,0
,0.225,0,0,0,0,0
,0.225,0,0,0,0,0
,0.229,0,0,0,0,0
,0.229,0,0,0,0,0
,0.218,0,0,0,0,0
,0.244,0,0,0,0,0
,0.237,0,0,0,0,0
,0.241,0,0,0,0,0
,1.337,1,1,0,0,1
,1.356,1,1,0,0,1
,1.359,1,1,0,0,1
,1.377,1,1,0,0,1
,1.371,1,1,0,0,1
,1.375,1,1,0,0,1
,1.38,1,1,0,0,1
,1.539,1,1,0,0,1
,1.54,1,1,0,0,1
,1.536,1,1,0,0,1
,1.521,1,1,0,0,1
,1.524,1,1,0,0,1
,1.533,1,1,0,0,1
,1.527,1,1,0,0,1
,1.522,1,1,0,0,1
,1.52,1,1,0,0,1
,1.528,1,1,0,0,1
,1.529,1,1,0,0,1
,1.518,1,1,0,0,1
,1.521,1,1,0,0,1
,1.526,1,1,0,0,1
,1.518,1,1,0,0,1
,1.523,1,1,0,0,1
,1.519,1,1,0,0,1
,1.525,1,1,0,0,1
,1.523,1,1,0,0,1
,1.516,1,1,0,0,1
